指标,网上零售额累计值(亿元),实物商品网上零售额累计值(亿元),社会消费品零售总额当期值(亿元),ecommerce_dev,网上零售额月度数据(亿元),社会消费品零售总额当期值(亿元),retail_sales,logistics_efficiency,consumer_behavior
2024年11月,140307.2,118058.6,43763,14728.2,16675.2,43763,29034.8,115.5,68044.9
2024年10月,123632,103330.4,45396.4,12609.3,14704.1,45396.4,32787.1,115,67643.6
2024年9月,108927.9,90721.1,41112.3,10578.5,12575.5,41112.3,30533.8,114.4,67242.3
2024年8月,96352.4,80142.6,38725.8,10049.6,12568.4,38725.8,28676.2,114.2,66841
2024年7月,83784,70093,37757.4,10497.1,12792.6,37757.4,27260.3,114.1,66439.7
2024年6月,70991.4,59595.9,40731.6,11315.5,13322.6,40731.6,29416.1,114.8,66038.4
2024年5月,57668.8,48280.4,39211,10924.7,13558.5,39211,28286.3,113.9,65637.1
2024年4月,44110.3,37355.7,35699.1,9303.2,11028.5,35699.1,26395.9,113.2,65235.8
2024年3月,33081.8,28052.5,39019.9,9846,11546.4,39019.9,29173.9,112.5,64834.5
2024年2月,21535.4,18206.5,,,,,,,64433.2
2023年12月,154264.2,130173.8,43550.2,12465,14693.6,43550.2,31085.2,112.4,63630.6
2023年11月,139570.6,117708.8,42505,14699.1,16655.9,42505,27805.9,113.1,63241.78667
2023年10月,122914.7,103009.7,43333,12574.7,14716.2,43333,30758.3,111.9,62852.97333
2023年9月,108198.5,90435,39826,10614.4,12811.9,39826,29211.6,112.3,62464.16
2023年8月,95386.6,79820.6,37932.7,9964.5,12289.1,37932.7,27968.2,111.1,62075.34667
2023年7月,83097.5,69856.1,36760.7,9233.4,11476.3,36760.7,27527.3,110.9,61686.53333
2023年6月,71621.2,60622.7,39951.4,12568,14715.5,39951.4,27383.4,110.6,61297.72
2023年5月,56905.7,48054.7,37803.3,10890.4,12797.8,37803.3,26912.9,109.5,60908.90667
2023年4月,44107.9,37164.3,34910.5,9329.2,11245.3,34910.5,25581.3,109,60520.09333
2023年3月,32862.6,27835.1,37855.4,10359.5,12318.8,37855.4,27495.9,108.3,60131.28
2023年2月,20543.8,17475.6,,,,,,,59742.46667
2022年12月,137853.2,119642.1,40542.3,11543.8,13268.2,40542.3,28998.5,102.8,58964.84
2022年11月,124585,108098.3,38615.1,13592.6,15042.6,38615.1,25022.5,106.6,58515.99167
2022年10月,109542.4,94505.7,40270.5,12132,13658.4,40270.5,28138.5,106.9,58067.14333
2022年9月,95884,82373.7,37744.9,9960.2,11589.1,37744.9,27784.7,106.6,57618.295
2022年8月,84294.9,72413.5,36257.9,9261,11071.1,36257.9,26996.9,107.9,57169.44667
2022年7月,73223.8,63152.5,35870.1,8659.3,10217.3,35870.1,27210.8,107.6,56720.59833
2022年6月,63006.5,54493.2,38742.5,11774.9,13402.1,38742.5,26967.6,107.4,56271.75
2022年5月,49604.4,42718.3,33547,9831.6,10912.6,33547,23715.4,107.1,55822.90167
2022年4月,38691.8,32886.7,29483.1,7630.2,8562.2,29483.1,21852.9,106.7,55374.05333
2022年3月,30129.6,25256.5,34233.1,8885.4,10571.4,34233.1,25347.7,106.1,54925.205
2022年2月,19558.2,16371.1,,,,,,,54476.35667
2021年12月,130883.5,108042.4,41268.9,9986.3,12134.3,41268.9,31282.6,108.8,53578.66
